Kd		Rec5Bins2ItN1	UE5Bins2ItN1	K5Bins2ItN1		Rec5Bins2ItN0	UE5Bins2ItN0	K5Bins2ItN0		Rec5Bins4ItN1	UE5Bins4ItN1	K5Bins4ItN1		Rec6Bins2ItN1	UE6Bins2ItN1	K6Bins2ItN1	Rec7Bins2ItN1	UE7Bins2ItN1	K7Bins2ItN1
200		0.91098			0.088509		196				0.92173			0.089692		196				0.9291			0.089375		190				0.91372			0.086896		196				0.91528			0.085705		197
400		0.95514			0.066844		391				0.96147			0.068147		393				0.96436			0.068282		383				0.95773			0.065103		388				0.9617			0.064136		389
600		0.96806			0.058091		573				0.9738			0.059174		589				0.97599			0.058631		561				0.9732			0.055557		578				0.97549			0.054344		578
800		0.97869			0.051829		780				0.98301			0.052867		795				0.98354			0.051316		763				0.98137			0.050095		778				0.98309			0.049569		783
1040	0.98584			0.04526			1005			0.98891			0.046299		1025			0.98907			0.04582			990				0.98834			0.044315		1009			0.98901			0.044486		1007
