Kd		Rec7Bins025Beta		UE7Bins025Beta		Rec7Bins05Beta		UE7Bins05Beta		Rec7Bins075Beta		UE7Bins075Beta		Rec7Bins1Beta		UE7Bins1Beta	Rec7Bins125Beta		UE7Bins125Beta
200		0.92353				0.09275				0.91059				0.093335			0.90042				0.09396				0.89141				0.094767		0.88312				0.095661
400		0.97104				0.070645			0.96592				0.070466			0.96152				0.070862			0.95747				0.071114		0.95433				0.071447
600		0.98564				0.061165			0.98303				0.060981			0.98081				0.060995			0.97872				0.061097		0.977				0.061281
800		0.99069				0.056274			0.98919				0.056116			0.98796				0.056073			0.98697				0.056114		0.98604				0.056216
1040	0.99454				0.050969			0.9938				0.050769			0.99329				0.050764			0.99284				0.05079			0.99238				0.050832
