Kd		Rec		UE			avgCO	ASA		K
200		0.85008	0.060363	0.50209	0.94336	200
400		0.90924	0.050112	0.52692	0.95383	393
600		0.93524	0.045992	0.54076	0.958	569
800		0.95148	0.043836	0.55036	0.96018	699
1040	0.96379	0.042005	0.55638	0.96217	843
