Kd		Rec5Bins2ItN1	UE5Bins2ItN1	Rec5Bins2ItN0	UE5Bins2ItN0	Rec5Bins4ItN1	UE5Bins4ItN1	Rec6Bins2ItN1	UE6Bins2ItN1	Rec7Bins2ItN1	UE7Bins2ItN1
200		0.94983			0.064049		0.96595			0.068068		0.95845			0.064299		0.94308			0.062586		0.94134			0.063077
400		0.98043			0.049202		0.98705			0.052188		0.98373			0.049482		0.97778			0.047785		0.9769			0.048232
600		0.98932			0.042595		0.99289			0.045032		0.99109			0.042811		0.98807			0.041745		0.98833			0.041628
800		0.99294			0.039697		0.9955			0.042247		0.99393			0.039518		0.99151			0.038933		0.99195			0.039015
1040	0.99595			0.035806		0.99728			0.037961		0.99621			0.035634		0.99507			0.035363		0.99532			0.035277
