Kd		Rec100Beta	UE100Beta	K100Beta	Rec05Beta	UE05Beta	K05Beta
200		0.9775		0.13753		243			0.97045		0.10183		217
400		0.98669		0.10421		427			0.9825		0.076985	372
600		0.99122		0.088707	625			0.98788		0.065498	522
800		0.99422		0.078606	775			0.9912		0.058754	647
1040	0.9966		0.069174	1055		0.99458		0.052041	849
