Kd		Rec02Lambda4Sigma	UE02Lambda4Sigma		Rec04Lambda4Sigma	UE04Lambda4Sigma		Rec06Lambda4Sigma	UE06Lambda4Sigma		Rec04Lambda2Sigma	UE04Lambda2Sigma	Rec04Lambda6Sigma	UE04Lambda6Sigma
200		0.90419				0.069498				0.91573				0.071047				0.91513				0.073515				0.93362				0.10108				0.89721				0.066932
400		0.95194				0.053023				0.96304				0.054318				0.96593				0.056362				0.97484				0.076674			0.95269				0.050561
600		0.97034				0.045742				0.98098				0.046921				0.98431				0.0492					0.98728				0.066144			0.97564				0.043405
800		0.9806				0.041486				0.98919				0.042788				0.99166				0.044534				0.99329				0.058912			0.98588				0.039587
1040	0.98668				0.038075				0.99399				0.039201				0.99587				0.04098					0.99628				0.053675			0.99241				0.036036
