Kd		Rec0005Beta	UE0005Beta	Rec001Beta	UE001Beta	Rec005Beta	UE005Beta	Rec01Beta	UE01Beta	Rec02Beta	UE02Beta	K
200		0.91341		0.06676		0.85036		0.071781	0.66884		0.09656		0.6201		0.10945		0.58819		0.12097		247
400		0.97207		0.050296	0.952		0.052073	0.83629		0.066365	0.78196		0.076804	0.74339		0.087498	442
600		0.9884		0.04397		0.98095		0.044918	0.91877		0.054299	0.87847		0.061754	0.844		0.070617	651
800		0.99423		0.039482	0.99087		0.040296	0.95908		0.046593	0.93222		0.052924	0.90341		0.060889	805
1040	0.99744		0.035151	0.99659		0.035567	0.98698		0.040108	0.97658		0.044829	0.96316		0.05081		1107
