Kd		Rec10Sigma	UE10Sigma	K10Sigma	Rec30Sigma	UE30Sigma	K30Sigma	Rec50Sigma	UE50Sigma	K50Sigma
200		0.93175		0.055512	292			0.83098		0.072095	279			0.74161		0.090651	254
400		0.97449		0.042762	560			0.91259		0.056725	516			0.84787		0.07205		491
600		0.98215		0.039681	737			0.93992		0.051245	708			0.89713		0.062837	659
800		0.99018		0.035822	926			0.95993		0.046894	844			0.92811		0.058377	811
1040	0.99596		0.032509	1222		0.98169		0.042178	1148		0.96602		0.051191	1114
