Kd		Rec005Beta	UE005Beta	K005Beta	Rec01Beta	UE01Beta	K01Beta	Rec1Beta	UE1Beta	K1Beta	Rec10Beta	UE10Beta	K10Beta	Rec20Beta	UE20Beta	K20Beta	Rec40Beta	UE40Beta	K40Beta
450		0.91472		0.16258		368			0.91472		0.16281		371		0.91383		0.16198	372		0.87596		0.1581		392		0.27445		0.1656		400		0.74197		0.18308		407
700		0.95703		0.136		597			0.95704		0.13586		602		0.95641		0.13527	606		0.92859		0.1327		635		0.24261		0.13865		652		0.83709		0.1518		658
850		0.969		0.12632		730			0.96918		0.12624		733		0.96852		0.12577	741		0.94526		0.12389		774		0.23058		0.12974		783		0.87072		0.14174		789
1100	0.98292		0.11467		977			0.98292		0.11453		993		0.98241		0.11428	996		0.96787		0.11238		1036	0.20997		0.11734		1058	0.92348		0.12698		1062
1400	0.99027		0.10392		1269		0.99028		0.10397		1269	0.99		0.10358	1295	0.98259		0.10303		1348	0.1921		0.1075		1363	0.96056		0.11561		1373
