Kd		Rec5Lambda	UE5Lambda	K5Lambda	Rec10Lambda	UE10Lambda	K10Lambda	Rec25Lambda	UE25Lambda	K25Lambda
1040	0.98516		0.038528	783			0.97759		0.038129	795			0.96787		0.038422	777
800		0.97873		0.042593	542			0.96756		0.041532	559			0.95093		0.042316	561
600		0.96953		0.047446	429			0.95466		0.046037	430			0.93162		0.046541	433
400		0.9617		0.053082	310			0.94098		0.051206	313			0.90942		0.050891	313
200		0.93215		0.073412	167			0.8978		0.069109	162			0.85159		0.06713		165
